index,count,mean,std,min,25%,50%,75%,max
FLO:310_FIC43111_COM.sp,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:310_FIC43113_COM,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:310_FIC43113_COM.op,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:310_FIC43113_COM.sp,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:310_FIC43115_COM,1.0,1.67,,1.67,1.67,1.67,1.67,1.67
FLO:310_FIC43115_COM.op,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:310_FIC43115_COM.sp,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:310_FIC_3833_COM,1.0,0.36,,0.36,0.36,0.36,0.36,0.36
FLO:310_FIC_3834_COM,1.0,0.06,,0.06,0.06,0.06,0.06,0.06
FLO:310_FIC_3843_COM,1.0,0.06,,0.06,0.06,0.06,0.06,0.06
FLO:310_FIC_3844_COM,1.0,2.74,,2.74,2.74,2.74,2.74,2.74
FLO:310_FIC_3853_COM,1.0,0.06,,0.06,0.06,0.06,0.06,0.06
FLO:310_FIC_3854_COM,1.0,0.06,,0.06,0.06,0.06,0.06,0.06
FLO:310_FIC_3863_COM,1.0,0.06,,0.06,0.06,0.06,0.06,0.06
FLO:310_FIC_3864_COM,1.0,0.06,,0.06,0.06,0.06,0.06,0.06
FLO:310_FIC_3864_COM.sp,1.0,0.06,,0.06,0.06,0.06,0.06,0.06
FLO:310_FIC_9638,1.0,0.06,,0.06,0.06,0.06,0.06,0.06
FLO:310_FIC_9694,1.0,0.06,,0.06,0.06,0.06,0.06,0.06
FLO:310_FIC_9707,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:310_FIT_9638,1.0,0.06,,0.06,0.06,0.06,0.06,0.06
FLO:310_FIT_9694,1.0,0.06,,0.06,0.06,0.06,0.06,0.06
FLO:310_FIT_9707,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:310_LIC509,1.0,0.06,,0.06,0.06,0.06,0.06,0.06
FLO:310_LIT_9640,1.0,0.06,,0.06,0.06,0.06,0.06,0.06
FLO:310_LIT_9660,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:310_LIT_9661,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:310_LIT_9670,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:310_LIT_9671,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:310_LIT_9680,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:310_LIT_9681,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:310_LY_9661,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:310_LY_9671,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:310_LY_9681,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:ALIM_AGUAS_MOL_1,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:ALIM_AGUAS_MOL_10,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ALIM_AGUAS_MOL_11,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ALIM_AGUAS_MOL_12,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ALIM_AGUAS_MOL_2,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ALIM_AGUAS_MOL_3,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ALIM_AGUAS_MOL_4,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ALIM_AGUAS_MOL_5,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ALIM_AGUAS_MOL_6,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ALIM_AGUAS_MOL_7,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ALIM_AGUAS_MOL_8,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ALIM_AGUAS_MOL_9,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ALIM_AGUAS_MOL_U,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA01CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA02CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA03CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA04CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA05CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA06CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA06CUH,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:ARA07CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA08CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA09CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA10CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA11CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA12CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA13CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA14CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA15CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA16CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA17CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA18CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA19CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA20CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARA21CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:ARB09CU,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:CAL43061,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:CONSMOLI,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:CONSPTR,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:CONSRETR,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:CT_XAN_B101,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:CT_XAN_B102,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:CT_XAN_B103,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:CT_XAN_B121,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:CT_XAN_B122,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:CT_XAN_B123,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:CT_XAN_B124,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:CT_XAN_B125,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:DI43002,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:DI44NX,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:DIT43762,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:DIT43763,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:FI40101,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:FI43008,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:FI43060,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:FI43078,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:FIC729,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
flo:fit43736,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:FIT43762,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:FIT43763,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:FITOUMOL,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:FMI748X,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:FQI40101X,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:FQI71X,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:FQIPETRA,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:PROF_101CV1_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_101CV3_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_101CV5_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_101CV7_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_101MV0_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_101MV1_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_101MV2_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_101MV3_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_102CV1_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_102CV3_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_102CV5_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_102CV7_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_102MV0_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_102MV1_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_102MV2_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_102MV3_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_103CV1_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_103CV3_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_103CV5_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_103CV7_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_103MV0_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_103MV1_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_103MV2_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_103MV3_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_104CV1_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_104CV2_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_104CV3_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_104MV1_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_104MV2_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_104MV3_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_105CV1_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_105CV2_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_105CV3_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_105MV1_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_105MV2_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_105MV3_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_106CV0_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_106CV1_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_106CV2_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_106MV0_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_106MV1_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_106MV2_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_107CV0_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_107CV1_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_107CV2_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_107MV0_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_107MV1_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_107MV2_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_108CV1_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_108CV2_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_108CV3_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_108MV1_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_108MV2_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_108MV3_High,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FLO:PROF_121CV0_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_121CV1_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_121CV2_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_121MV0_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_121MV1_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_121MV2_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_122CV0_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_122CV1_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_122CV2_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_122MV0_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_122MV1_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_122MV2_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_123CV0_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_123CV1_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_123CV2_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_123CV3_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_123MV0_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_123MV1_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_124CV0_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_124CV1_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_124CV2_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_124CV3_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_124MV0_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_124MV1_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_125CV0_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_125CV1_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_125CV2_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_125MV0_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_125MV1_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:PROF_125MV2_High,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
flo:usmhley2,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
flo:usmhley4,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:XAN_B101,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:XAN_B102,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:XAN_B103,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:XAN_B121,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:XAN_B122,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:XAN_B123,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:XAN_B124,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:XAN_B125,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:XAN_CTL_SP101,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:XAN_CTL_SP102,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:XAN_CTL_SP103,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:XAN_CTL_SP121,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:XAN_CTL_SP122,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:XAN_CTL_SP123,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:XAN_CTL_SP124,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:XAN_CTL_SP125,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FSAG:320_COU_S0CU,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S0FE,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S0MO,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S0SOL,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S10CU,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S10FE,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S10MO,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S10SOL,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S11CU,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S11FE,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S11MO,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S11SOL,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S13CU,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S13FE,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S13MO,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S13SOL,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S14CU,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S14FE,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S14MO,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S14SOL,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S15CU,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S15FE,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S15MO,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S15SOL,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S16CU,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S16FE,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S16MO,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S16SOL,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S1CU,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S1FE,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S1MO,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S1SOL,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S2CU,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S2FE,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S2MO,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S2SOL,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S3CU,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S3FE,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S3MO,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S3SOL,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S4CU,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S4FE,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S4MO,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S4SOL,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S5CU,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S5FE,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S5MO,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S5SOL,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S7CU,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S7FE,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S7MO,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S7SOL,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S8CU,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S8FE,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S8MO,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S8SOL,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S9CU,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S9FE,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S9MO,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_COU_S9SOL,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FSAG:320_FIC_32721,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32721_OP,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32721_SP,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32722,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32722_OP,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32722_SP,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32723,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32723_OP,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32723_SP,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32724,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32724_OP,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32724_SP,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32861,1.0,0.42,,0.42,0.42,0.42,0.42,0.42
FSAG:320_FIC_32861_OP,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32861_SP,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32862,1.0,4.8,,4.8,4.8,4.8,4.8,4.8
FSAG:320_FIC_32862_OP,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32862_SP,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32863,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32863_OP,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32863_SP,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32864,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32864_OP,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_32864_SP,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_TOT_ALIM.PV,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FIC_TOT_COLAS.PV,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FI_32721,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FI_32722,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FI_32723,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FI_32724,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FI_32861,1.0,0.42,,0.42,0.42,0.42,0.42,0.42
FSAG:320_FI_32862,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FI_32863,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
FSAG:320_FI_32864,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
